"row ID","SMILES","Mtb Activity","IC90 Modifier","IC90","Vero Activity","IC50 Modifier","IC50","Aromatic Atoms Count","Bond Polarizabilities","VABC Volume Descriptor","Hydrogen Bond Acceptors","Hydrogen Bond Donors","Rotatable Bonds Count","Topological Polar Surface Area","Molecular Weight","XLogP","Formal Charge","SP3 Character"
"14723351","CC(C)(C)C1=NN(C2=C1C=C(C(=O)N2)CNCC3=CC4=C(C=C3)OCO4)C5=CC=CC=C5","Active",,34.37,"Active",,27.201,21,36.51338199999999,390.46691476981914,2,2,9,81.17,430.2004906920007,5.109000000000001,0,0.1206896551724138
"14723638","C1CN(CCC1CNC(=O)C2=CC=C(C=C2)Cl)C3=CC=C(C=C3)S(=O)(=O)N4CCOCC4","Active",,56.96,"Active",">",40.0,12,44.99979599999999,418.5543386417134,7,1,7,87.33000000000001,477.1489050560008,3.616,0,0.16666666666666666
"14723726","COC(=O)CSC1=NN=C(N1C2=CC=CC=C2)CNC3=CC=C(C=C3)Cl","Active",,25.34,"Inactive",,,17,28.118518999999992,321.67426361862385,5,1,10,94.34,388.0760744640005,5.097000000000001,0,0.06976744186046512
"14724066","CC1=CC=CC=C1CSC2=NSC(=N2)N","Active",,24.09,"Inactive",,,11,18.565276999999995,191.829422793567,3,1,5,105.33999999999999,237.039439352,2.2659999999999996,0,0.07692307692307693
"14724233","COC1=CC=C(C=C1)C(=O)CSC2=NN=C(O2)CNC3=CC=C(C=C3)OC","Active",,22.93,"Inactive",,,17,31.736932999999993,330.3428736670129,4,1,11,111.78000000000002,385.10962708800054,3.9830000000000014,0,0.08695652173913043
"14724311","C1=CC=C(C=C1)OC2=C3C4=C(C5=CC=CC=C5C3=O)ON=C4C=C2","Active",,14.44,"Active",,9.246,21,16.815277,257.46025231518433,1,0,2,52.33,313.0738932120003,5.2540000000000004,0,0.0
"14724471","C1=CC(=CC=C1C2=C3C=C(C=CC3=NO2)C=O)Cl","Inactive",,,"Inactive",,,15,12.039655999999997,203.62747913385599,1,0,3,43.1,257.024356176,4.683000000000001,0,0.0
"14724787","COC1=CC=C(C=C1)C2CC(=NC3=CC=CC=C3S2)C4=CC=CS4","Active",,50.85,"Active",">",40.0,17,26.380518999999993,305.4272231316625,1,0,4,75.13,351.07515616400053,4.211,0,0.07317073170731707
"14724817","CCCC1CC(OC1=O)(C)C2=CSC(=N2)NC3=CC=C(C=C3)OCC","Active",,44.93,"Active",">",40.0,11,35.286967999999995,329.3652628606852,4,1,10,88.69000000000001,360.1507636280007,4.019000000000002,0,0.1836734693877551
"14725008","CCCCCC1CC(C(=O)O1)CC(=O)NC(=S)NC2=CC=C(C=C2)[N+](=O)[O-]","Active",">",100.0,"Inactive",,,6,32.69176099999999,361.2664918441074,5,2,12,142.66000000000003,393.1358418360006,3.8540000000000005,0,0.18
"14725031","C1CCN(CC1)CCN2C3=CC=CC=C3N=C2NCC4=NC5=CC=CC=C5N4CC6=CC=CC=C6","Active",,72.8,"Active",,27.113,24,44.22262399999999,418.4807761863363,4,1,8,50.910000000000004,464.26884502400094,5.505000000000001,0,0.13432835820895522
"14725151","CCCCOC1=C(C=C(C=C1)Br)/C(=N/NC2=NCCN2)/C.C(=O)(C(=O)O)O","Active",,31.83,"Active",,8.306,6,32.905761,364.2983210471742,8,4,13,132.61,442.0851819360006,4.101,0,0.14
