PUBCHEM_SID,SMILES,Mtb Activity,IC90 Modifier,IC90,Vero Activity,IC50 Modifier,IC50
864147,CC1=NN(C(=C1)CC(C)C)C2=NC3=CC=CC=C3C(=O)N2OCC(=O)N,Active,,20.59,Active,>,40
864213,CC1=C2C(=O)C=CC3=C(C2=C(O1)C)OC(=C(C3C4=CC=CC=C4Cl)C#N)N,Inactive,,,Active,>,40
864229,CN1C2=C(C(=O)N(C1=O)CC3=CC=CC=C3)N4CCCN(C4=N2)C5CCCCC5,Active,>,100,Inactive,,
864454,CC1=CC2=C(C=C1)N(C3=C2N=CN=C3N4CCC5=CC=CC=C5C4)C,Active,>,100,Active,>,40
864783,CC(C)CC1=NC2=C(C3=C1CCCC3)C4=C(O2)C(=NC=N4)N5CCN(CC5)CCO,Active,,24.88,Active,,33.797
865069,CCOC1=C(C=CC(=C1)C2=C(C(=O)NC3=C2C(=NN3C4=CC=C(C=C4)F)C)C#N)O,Active,,8.73,Active,>,40
865168,CCCC1=NC=CC(=C1)C(=S)N,Active,>,100,Inactive,,
865218,CCOC(=O)C1=CC=C(C=C1)NC(=O)CCC2=NC(=NO2)C3=CC=C(C=C3)Cl,Active,>,100,Inactive,,
865561,CCCC12CN3CC(C1=O)(CN(C2)C3C4=CC=CC=N4)CCC,Active,>,100,Inactive,,
865678,CC1=NC2=C(C=NN2C(=C1)N3CCCCC3)C4=CC=C(C=C4)Cl,Inactive,,,Active,>,40
865743,CCOC(=O)C1=C(NC2=NC(=NN2C1C3=CC(=CC(=C3)F)F)SCC(=O)OC)C,Active,,12.45,Inactive,,
865786,CCCN1C2=CC=CC=C2N=C1NC3=NC4=CC=CC=C4N3C,Active,,75.83,Active,,13.431
865789,CCCCN1C=NC2=C1C=CC(=C2)NCC3=C(C(=CC=C3)OC)O,Inactive,,,Inactive,,
865856,CCCC1=NC2=C(C3=C1COC(C3)(C)C)C(=C(O2)C(=O)OCC)N,Inactive,,,Active,>,40
865948,CC(C)C[C@@H](C1=NN=C(O1)SCC(=O)OC)NC(=O)OC(C)(C)C,Active,,29.87,Inactive,,
866131,CCOC(=O)C1=CC=C(C=C1)NC(=O)CSC2=NN=C(N2CC=C)CC3=CC=CS3,Inactive,,,Active,>,40
3711107,CN1C=NN=C1SCC2=CC=C(O2)C3=CC=C(C=C3)Br,Inactive,,,Inactive,,
3711730,C1CC2(CCC1C3=CC=CC=C3)N=C(NC4=NC5=CC=CC=C5N24)N,Active,,43.71,Active,,29.345
3711737,CC1=CC(=C(C=C1)C(C)C)OCC(=O)OCC2=C(ON=C2C)C,Active,,6.88,Inactive,,
3711751,CC(C)OC(=O)CCCCCN1C(=O)CSC1=S,Active,,19.17,Active,,31.349
3711765,CC(C)(C)C1CCC2=C(C1)SC(=N2)NC(=O)CC3=CN4C=CSC4=N3,Active,,35.4,Inactive,,
3711979,CC1=NN(C(=C1C2C=C(NC3=NN=NN23)C4=CC(=C(C=C4)OC)OC)Cl)C5=CC=CC=C5,Active,>,100,Active,>,40
3712294,C1CCN(C1)S(=O)(=O)C2=CN=C(C=C2)OC3=CC4=C(C=C3)OC5=CC=CC=C54,Inactive,,,Inactive,,
3712332,CN1C(=NN=N1)SCC(=O)NC2=CC=C(C=C2)C(=O)NC3=CC=CC=C3OC,Active,,21.55,Active,>,40
3712666,COC1=NC=C(C=C1)NC(=O)C2=CC(=C(C=C2)Cl)S(=O)(=O)N3CCC4=CC=CC=C4C3,Inactive,,,Active,>,40
3712847,COC1=CC=C(C=C1)C(=O)OCCNC(=O)C2=C(N=C3N2C=CC=C3)Cl.Cl,Active,,10.6,Inactive,,
3712888,CC1=CC=C(S1)S(=O)(=O)NC2=CC=CC3=C2C=CC=N3,Active,,6.54,Active,,6.469
3712893,CCOC1=C(C(=CC(=C1)C(=O)OCC2=CC=C(O2)C(=O)OC)Br)OC,Inactive,,,Inactive,,
3713070,CCOC(=O)C1=C(C2=C(N=CN=C2S1)NCC(C3=CC=CS3)N(C)C)C,Active,,57,Inactive,,
3713120,CC1=CC(=C(N1C2=CC=CC=C2Cl)C)C3N=C(NC4=NC5=CC=CC=C5N34)N,Active,,21.42,Inactive,,
3713127,CCN1C(=NC2=C1C=CC(=C2)C(=O)OC(C(C(F)F)(F)F)C(C(F)F)(F)F)C,Active,,25.8,Active,>,40
3713614,COC1=CC=C(C=C1)C2=NN=C(O2)SCC(=O)N3CCC4=CC=CC=C4C3,Active,,45.29,Inactive,,
3713837,C1C/C(=C(\C#N)/C2=NC(=CS2)C3=CC=CC=C3)/NC1,Inactive,,,Inactive,,
